State,煤炭,石油,天然气,水电,核电
1980,43518.6,12476.9,1868.5,2411.0,0
1981,43218.0,11889.4,1664.5,2675.1,0
1982,45743.4,11730.7,1551.7,3041.3,0
1983,49001.7,11953.2,1585.0,3500.1,0
1984,53390.7,12337.3,1701.7,3474.3,0
1985,58125.0,13112.6,1687.0,3757.4,0
1986,61284.3,13906.2,1859.6,3800.0,0
1987,66013.6,14727.4,1819.3,4071.7,0
1988,70770.7,15902.5,1952.9,4370.9,0
1989,73766.8,16575.7,2035.6,4555.9,0
1990,75211.7,16384.7,2072.8,5033.9,0
1991,78978.9,17746.9,2075.7,4981.6,0
1992,82641.7,19104.8,2074.2,5349.3,0
1993,86646.8,21110.7,2203.9,5915.6,115.993
1994,92052.8,21356.2,2332.0,6382.3,613.685
1995,97857.3,22955.8,2361.2,7477.0,524.704
1996,99366.1,25280.9,2433.5,7543.7,581.3256
1997,97039.0,27725.4,2446.4,7991.4,584.4087
1998,96554.5,28326.3,2451.3,8266.4,558.3544
1999,99241.7,30222.3,2811.4,7717.2,576.3329
2000,100707.5,32307.9,3201.7,8630.0,640.3364
2001,102727.3,32788.5,3609.7,10648.7,661.7864
2002,108413.1,35553.1,3826.3,10777.5,860.9274
2003,128286.8,38963.9,4594.8,10384.2,1543.8528
2004,148351.9,45466.1,5336.4,12615.2,1771.6848
2005,167085.9,46727.4,6135.9,13947.4,1864.3763
2006,183918.6,49924.5,7501.6,15261.9,1914.2024
2007,199441.2,52735.5,9256.8,16662.2,2131.8608
2008,204887.9,53335.0,10783.6,19468.7,2273.2944
2009,215879.5,54889.8,11959.2,19932.1,2453.176